Question,Options,Correct Option,CourtEasy-v1 Response,Evaluation,Comments (Optional)
" Which of the following cannot be considered as the suit of civil nature for Section 9 of the Code of Civil Procedure, 1908?","Options:
A. Suit for recovery of voluntary payments or offerings.
B. Suit for rights of franchise.
C. Suit for specific reliefs.
D. Suit relating to rights of worship.",D,"Section 9 of the Code of Civil Procedure, 1908 (CPC) provides that the courts shall have jurisdiction to try all suits of a civil nature except those which are expressly or impliedly barred.

A suit is of a ""civil nature"" if it pertains to the private rights and obligations of citizens, as opposed to criminal or political matters. Explanation I to Section 9 clarifies that a suit in which the right to property or to an office is contested is a suit of a civil nature, even if such right may depend entirely on the decision of questions as to religious rites or ceremonies.

Let us analyze each option:

A. Suit for recovery of voluntary payments or offerings:  
Such suits are not of a civil nature because voluntary offerings or payments are not legally enforceable rights. Courts do not entertain suits for recovery of voluntary offerings, as there is no legal obligation to return or pay such offerings.

B. Suit for rights of franchise:  
A suit relating to the right of franchise (such as the right to vote) is considered a suit of civil nature, as it pertains to a legal right.

C. Suit for specific reliefs:  
Suits for specific reliefs (such as injunctions, specific performance, etc.) are of a civil nature, as they relate to the enforcement of civil rights.

D. Suit relating to rights of worship:  
Suits relating to rights of worship are also of a civil nature, as recognized by Explanation I to Section 9.

Therefore, the correct answer is:

A. Suit for recovery of voluntary payments or offerings.

This cannot be considered as a suit of civil nature for the purposes of Section 9 of the CPC.",Incorrect,
" Which of the following provision of the Code of Civil Procedure, 1908 makes the doctrine of res judicata applicable in representative suits?","Options:
A. Section 11, Explanation V
B. Section 11, Explanation VI
C. Section 11, Explanation VII
D. Section 11, Explanation VIII",B,"The doctrine of res judicata is incorporated in Section 11 of the Code of Civil Procedure, 1908 (CPC). Specifically, Explanation VI to Section 11 makes the doctrine of res judicata applicable in representative suits. Explanation VI states that where persons litigate bona fide in respect of a public right or of a private right claimed in common for themselves and others, all persons interested in such right shall, for the purposes of this section, be deemed to claim under the persons so litigating. This means that a decision in a representative suit binds not only the parties to the suit but also all those who are represented.

Therefore, the correct option is:
B. Section 11, Explanation VI.",Correct,
 In which of the following situations a court will not issue summons for personal appearance to the defendant?,"Options:
A. If defendant resides within the local limit of the court's jurisdiction.
B. If defendant resides within 40 miles from the court.
C. If defendant resides 250 miles away from the court in an area having public conveyance available.
D. Woman to whom Section 132 of the Civil Procedure Code, 1908 does not apply.",C,"The correct answer is: D. Woman to whom Section 132 of the CPC does not apply.

Explanation:

Under the Civil Procedure Code, 1908 (CPC), Section 132 provides exemption to certain women from personal appearance in court. Specifically, Section 132 states that women who, according to the customs and manners of the country, ought not to be compelled to appear in public, are exempt from personal appearance in court. Therefore, if a woman does not fall under the exemption provided by Section 132 (i.e., Section 132 does not apply to her), the court can issue summons for her personal appearance.

However, the question asks in which situation the court will not issue summons for personal appearance. The only situation where the court is barred from issuing such summons is when Section 132 applies, i.e., to women who are entitled to exemption under Section 132. Since option D refers to a woman to whom Section 132 does not apply, the court can issue summons for her personal appearance.

Let’s analyze the other options:

A. If the defendant resides within the local limit of the court's jurisdiction – The court can issue summons for personal appearance.

B. If the defendant resides within 40 miles from the court – The court can issue summons for personal appearance.

C. If the defendant resides 250 miles away from the court in an area having public conveyance available – As per Order V Rule 3 of the CPC, the court may issue summons for personal appearance if public conveyance is available, even if the distance is more than 200 miles.

D. Woman to whom Section 132 of the CPC does not apply – The court can issue summons for personal appearance.

Therefore, in all the given options, the court can issue summons for personal appearance. However, if the question is asking in which situation the court will not issue summons, the correct answer would be: to a woman to whom Section 132 applies (i.e., who is entitled to exemption). Since option D is about a woman to whom Section 132 does not apply, the court can issue summons.

If the intent is to select the situation where the court will not issue summons, none of the options directly state ""a woman to whom Section 132 applies."" But based on the options given, the answer is that the court will not issue summons for personal appearance to a woman to whom Section 132 applies.

If you need to select from the given options, none of them is strictly correct as per the statute, but D is the closest in context for understanding the application of Section 132.",Incorrect,
" In which of the following situation plaintiff is precluded from bringing a fresh suit as per the Code of Civil Procedure, 1908?","Options:
A. Dismissal of suit where summons not served in consequence of plaintiff's failure to pay costs.
B. Dismissal of suit because neither party appeared.
C. Dismissal of suit because plaintiff did not appear.
D. Dismissal of suit because plaintiff did not apply for fresh summons within given time limit once it returned unserved.",C,"A plaintiff is precluded from bringing a fresh suit in certain situations as per the Code of Civil Procedure, 1908 (CPC). The relevant statutory provisions are:

1. Order II Rule 2 of CPC: If a plaintiff omits to sue in respect of, or intentionally relinquishes, any portion of his claim, he shall not afterwards sue in respect of the portion so omitted or relinquished. This means that all claims arising from the same cause of action must be included in one suit, and if any part is left out, a fresh suit for that part is barred.

2. Order IX Rule 9 of CPC: If a suit is dismissed for the plaintiff’s default (i.e., for non-appearance of the plaintiff), the plaintiff is precluded from bringing a fresh suit on the same cause of action. However, the plaintiff may apply for setting aside the dismissal if he can show sufficient cause.

3. Section 11 of CPC (Res Judicata): If a matter has been directly and substantially in issue in a former suit between the same parties and has been finally decided by a competent court, the plaintiff is precluded from bringing a fresh suit on the same issue.

Therefore, the plaintiff is precluded from bringing a fresh suit in the following situations:

- When he omits or relinquishes a part of his claim (Order II Rule 2).
- When the previous suit was dismissed for default of appearance (Order IX Rule 9).
- When the matter has already been finally decided between the same parties (Section 11, Res Judicata).

The correct option would be: The plaintiff is precluded from bringing a fresh suit when (a) he omits or relinquishes a part of his claim, (b) the previous suit was dismissed for default of appearance, or (c) the matter has already been finally decided between the same parties by a competent court.",Incorrect,
" How many times at max. may an adjournment be granted to a party during hearing of the suit as per the Code of Civil Procedure, 1908?","Options:
A. Two times
B. Three times
C. Four times
D. No limit prescribed",B,"As per the Code of Civil Procedure, 1908 (CPC), specifically under Order XVII Rule 1, the maximum number of adjournments that may be granted to a party during the hearing of the suit is three times. The statute clearly states that no party shall be granted more than three adjournments during the hearing of the suit, except in exceptional circumstances to be recorded in writing.

Therefore, the correct option is:
B. Three times.",Correct,
" Which of the following Amendment Act made the provision in the Code of Civil Procedure, 1908 to produce a witness without a summons?","Options:
A. The Code of Civil Procedure (Amendment) Act, 1976
B. The Code of Civil Procedure (Amendment) Act, 1999
C. The Code of Civil Procedure (Amendment) Act, 2002
D. Such provision does not exist.",A,"The provision to produce a witness without a summons was introduced by the Code of Civil Procedure (Amendment) Act, 1976. Therefore, the correct answer is A. The Code of Civil Procedure (Amendment) Act, 1976.",Correct,
" Which of the following is not included in the word costs as provided under the Code of Civil Procedure, 1908?","Options:
A. The expenses of the witnesses incurred.
B. Legal fees and expenses incurred.
C. Fooding and lodging expenses incurred.
D. Any other expenses incurred in connection with the proceedings.",C,"The term ""costs"" under the Code of Civil Procedure, 1908 (CPC) generally refers to the expenses that a party incurs in the course of litigation, which the court may order one party to pay to the other. According to Section 35 and related provisions of the CPC, ""costs"" typically include:

A. The expenses of the witnesses incurred – These are included as costs.
B. Legal fees and expenses incurred – These are included as costs.
C. Fooding and lodging expenses incurred – These are generally not included as costs under the CPC.
D. Any other expenses incurred in connection with the proceedings – These may be included as costs if the court deems them necessary and reasonable.

Therefore, the correct answer is:

C. Fooding and lodging expenses incurred.

These are not typically included in the word ""costs"" as provided under the Code of Civil Procedure, 1908.",Correct,
" What period is prescribed under the Code of Civil Procedure, 1908 for defendant to enter an appearance for filing address for service of notice on him in case of a suit where summary procedure is to be applied?","Options:
A. Seven days from the date of receiving of summons.
B. Ten days from the date of receiving of summons.
C. Fifteen days from the date of receiving of summons.
D. Thirty days from the date of receiving of summons.",B,"The period prescribed under the Code of Civil Procedure, 1908 for the defendant to enter an appearance and file an address for service of notice on him in case of a suit where summary procedure is to be applied is B. Ten days from the date of receiving of summons.",Correct,
" Under which of the following provisions of the Code of Civil Procedure, 1908 the appellate court may remit an issue for trial to lower court?","Options:
A. Order XLI Rule 23
B. Order XLI Rule 23-A
C. Order XLI Rule 24
D. Order XLI Rule 25",D,"The provision under which the appellate court may remit an issue for trial to the lower court is Order XLI Rule 25 of the Code of Civil Procedure, 1908.

Order XLI Rule 25 specifically empowers the appellate court, if it thinks that any issue necessary for the determination of the appeal has not been tried by the lower court or has been insufficiently tried, to frame the issue and refer it for trial to the lower court. The lower court is then required to try the issue and return the evidence and its findings to the appellate court.

Here is a brief explanation of the options:

A. Order XLI Rule 23: This deals with remand of the case when the suit is disposed of on a preliminary point and the decree is reversed in appeal. The appellate court may remand the case for retrial.

B. Order XLI Rule 23-A: This allows remand in cases other than those covered by Rule 23, where the trial court has disposed of the case on merits but the appellate court considers a retrial necessary.

C. Order XLI Rule 24: This allows the appellate court to finally decide the case if the evidence on record is sufficient, without remanding or referring issues.

D. Order XLI Rule 25: This allows the appellate court to frame issues and refer them for trial to the lower court, specifically for the purpose of trying those issues and returning findings.

Therefore, the correct option is:
D. Order XLI Rule 25.",Correct,Withdrawn
" A is accused of the murder of B by beating him. Which of the following will not be considered as relevant fact forming part of the same transaction as per the Indian Evidence Act, 1872?","Options:
A. Whatever said by A or B at the time of beating.
B. Whatever done by A or B at the time of beating.
C. Whatever said by by-standers at the time of beating.
D. Whatever said by A or B a day before the day of beating.",D,"Under the Indian Evidence Act, 1872, Section 6 deals with the doctrine of ""Res Gestae""—facts which, though not in issue, are so connected with a fact in issue as to form part of the same transaction. Such facts are relevant and admissible as evidence.

Let us analyze each option:

A. Whatever said by A or B at the time of beating.  
This is relevant, as statements made by the accused or the victim during the commission of the crime form part of the same transaction (Section 6).

B. Whatever done by A or B at the time of beating.  
This is also relevant, as acts done by the accused or the victim during the occurrence are part of the same transaction (Section 6).

C. Whatever said by by-standers at the time of beating.  
Statements by by-standers at the time of the incident may also be relevant if they are part of the same transaction and contemporaneous with the act (Section 6).

D. Whatever said by A or B a day before the day of beating.  
Statements made by A or B a day before the incident are not part of the same transaction, as they are not contemporaneous with the act and do not form part of the res gestae under Section 6.

Correct Option:  
D. Whatever said by A or B a day before the day of beating.

Detailed Reason:  
Section 6 of the Indian Evidence Act, 1872, makes relevant those facts which are so connected with a fact in issue as to form part of the same transaction, whether they occurred at the same time and place or at different times and places. However, for a fact to be part of the same transaction, there must be a proximity of time, place, and continuity of action. Statements or acts made a day before the incident lack this proximity and continuity, and hence, are not considered as forming part of the same transaction.

Therefore, option D will not be considered as a relevant fact forming part of the same transaction as per the Indian Evidence Act, 1872.",Correct,
" Which of the following provisions of the Indian Evidence Act, 1872 says that the confession to a police officer shall not be proved against him?","Options:
A. Section 24
B. Section 25
C. Section 26
D. Section 27",B,"The provision of the Indian Evidence Act, 1872 that states a confession made to a police officer shall not be proved against the accused is Section 25. Section 25 specifically provides that no confession made to a police officer shall be proved as against a person accused of any offence. This is to prevent the possibility of coercion or undue influence by police officers during investigations.

Therefore, the correct option is:  
B. Section 25

Section 25 of the Indian Evidence Act, 1872 reads:  
""No confession made to a police officer shall be proved as against a person accused of any offence.""",Correct,
" Under which of the following provision of the Indian Evidence Act, 1872 dying declaration may be admitted as evidence?","Options:
A. Section 25
B. Section 29
C. Section 32
D. Section 37",C,"A dying declaration is admissible as evidence under Section 32 of the Indian Evidence Act, 1872. Section 32 deals with cases in which statements of relevant facts made by persons who cannot be called as witnesses are relevant. Specifically, Section 32(1) provides that statements made by a person as to the cause of their death, or as to any of the circumstances of the transaction which resulted in their death, are relevant in cases in which the cause of that person's death comes into question. This is commonly referred to as a ""dying declaration.""

The other options are not correct:
- Section 25 relates to confessions to police officers and makes them inadmissible.
- Section 29 deals with confessions otherwise relevant not to become irrelevant because of promise of secrecy, etc.
- Section 37 relates to relevancy of statements as to facts of public nature contained in certain acts or notifications.

Therefore, the correct option is:
C. Section 32

Section 32 of the Indian Evidence Act, 1872, is the statutory provision under which a dying declaration is admitted as evidence.",Correct,
" Which of the following is correct according to the Indian Evidence Act, 1872 pertaining to proof of contents of the documents?","Options:
A. Contents of the documents shall be proved by primary evidence.
B. Contents of the documents may be proved by secondary evidence.
C. Contents of the documents shall be proved by both primary and secondary evidence.
D. Contents of documents may be proved either by primary or by secondary evidence.",D,"The correct answer is:

D. Contents of documents may be proved either by primary or by secondary evidence.

According to the Indian Evidence Act, 1872:

- Section 61 states that the contents of documents may be proved either by primary or by secondary evidence.
- Section 62 defines primary evidence as the document itself produced for the inspection of the court.
- Section 63 defines secondary evidence as including certified copies, copies made from the original, oral accounts of the contents, etc., and such evidence is admissible in circumstances specified under Section 65.

Therefore, the law allows for the contents of documents to be proved by either primary or secondary evidence, depending on the situation and fulfillment of conditions for secondary evidence. Option D is correct.",Correct,
" Which of the following is a correct statement as per the Indian Evidence Act, 1872?","Options:
A. Leading questions may be asked in examination-in-chief.
B. Leading questions may be asked in cross-examination.
C. Leading questions may be asked in re-examination.
D. Leading questions cannot be asked in cross-examination.",B,"The correct statement as per the Indian Evidence Act, 1872 is B. Leading questions may be asked in cross-examination. Leading questions are not permitted in examination-in-chief or re-examination unless with the permission of the Court.",Correct,
" Which of the following is incorrect statement in the light of Indian Evidence Act, 1872?","Options:
A. Confession always goes against a person making it.
B. Admissions are conclusive as to the matters admitted.
C. Admissions may operate as an estoppel.
D. Confession is a statement, written or oral, which is a direct admission of guilt.",B,"The incorrect statement in the light of the Indian Evidence Act, 1872 is:

B. Admissions are conclusive as to the matters admitted.

Detailed Explanation:

A. Confession always goes against a person making it.  
This is correct. A confession, by its nature, is a statement made by an accused admitting guilt, and it is always used against the person making it.

B. Admissions are conclusive as to the matters admitted.  
This is incorrect. According to Section 31 of the Indian Evidence Act, 1872, admissions are not conclusive proof of the matters admitted, but they may operate as estoppel under certain circumstances. This means that while admissions are relevant and can be used as evidence, they are not final or binding proof and can be explained or rebutted.

C. Admissions may operate as an estoppel.  
This is correct. Section 31 of the Act states that admissions may operate as estoppel, meaning a person may be prevented from denying the truth of the admission in certain situations.

D. Confession is a statement, written or oral, which is a direct admission of guilt.  
This is correct. A confession is defined as a statement made by a person charged with a crime, admitting that they committed the offence, either in writing or orally.

Therefore, the correct answer is:  
B. Admissions are conclusive as to the matters admitted.",Correct,
" Which of the following Section of the Indian Evidence Act, 1872 is an exception to the hearsay rule?","Options:
A. Section 32(1)
B. Section 32(2)
C. Section 32(3)
D. Section 32(5)",A,"The hearsay rule generally excludes statements made outside the court from being admitted as evidence. However, Section 32 of the Indian Evidence Act, 1872 provides exceptions to this rule. Specifically, Section 32(1) is a well-known exception, which allows statements made by a person as to the cause of their death, or as to any of the circumstances of the transaction which resulted in their death, to be admissible in cases in which the cause of that person's death comes into question. These are commonly referred to as ""dying declarations.""

Therefore, the correct option is:  
A. Section 32(1)

Section 32(1) is the statutory exception to the hearsay rule under the Indian Evidence Act, 1872, as it permits the admissibility of certain statements made by persons who cannot be called as witnesses, particularly in relation to the cause of their death.",Correct,
" Which of the following is not a recognized alternate dispute resolution mechanism under the Code of Civil Procedure, 1908?","Options:
A. Arbitration
B. Conciliation
C. Lok Adalat
D. Negotiation",D,"The Code of Civil Procedure, 1908 (CPC), specifically under Section 89, recognizes certain alternate dispute resolution (ADR) mechanisms to facilitate the settlement of disputes outside the traditional court process. The recognized mechanisms under Section 89 of the CPC are:

A. Arbitration  
B. Conciliation  
C. Lok Adalat  
D. Mediation

Negotiation is not specifically mentioned as a recognized ADR mechanism under Section 89 of the CPC. While negotiation is a common method of dispute resolution, it is not formally provided for in the CPC as an ADR mechanism.

Therefore, the correct answer is:

D. Negotiation

Detailed Explanation:
- Arbitration: Recognized under Section 89(1)(a) of the CPC.
- Conciliation: Recognized under Section 89(1)(b) of the CPC.
- Lok Adalat: Recognized under Section 89(1)(c) of the CPC and also under the Legal Services Authorities Act, 1987.
- Negotiation: Not specifically recognized under Section 89 of the CPC.

Correct Option: D. Negotiation",Correct,
 Which of the following is incorrect statement with respect to Lok Adalat?,"Options:
A. No court fee is required in Lok Adalat.
B. Lok Adalat can deal with all civil & criminal matters.
C. Award of Lok Adalat is a deemed decree.
D. No appeal against the award of Lok Adalat is allowed.",B,"The incorrect statement with respect to Lok Adalat is:

B. Lok Adalat can deal with all civil & criminal matters.

Detailed Explanation:

According to the Legal Services Authorities Act, 1987:

A. No court fee is required in Lok Adalat.  
This is correct. As per Section 21 of the Act, no court fee is payable when a matter is referred to Lok Adalat, and if any court fee has already been paid, it is refunded.

B. Lok Adalat can deal with all civil & criminal matters.  
This is incorrect. Lok Adalats can deal with civil cases (including matrimonial, family, and compoundable criminal cases). However, they cannot deal with non-compoundable criminal offences. Only compoundable offences under criminal law can be settled in Lok Adalat.

C. Award of Lok Adalat is a deemed decree.  
This is correct. As per Section 21 of the Act, the award of Lok Adalat is deemed to be a decree of a civil court and is final and binding on all parties.

D. No appeal against the award of Lok Adalat is allowed.  
This is correct. The award of Lok Adalat is final and binding, and no appeal lies against it to any court.

Therefore, the correct answer is option B. Lok Adalat cannot deal with all civil and criminal matters; it is limited to civil cases and compoundable criminal cases only.",Correct,
" Which of the following is incorrect with respect to arbitration agreement as per the Arbitration and Conciliation Act, 1996?","Options:
A. Arbitration agreement may be written as well as oral.
B. Arbitration agreement may be in the form of a separate agreement.
C. Arbitration agreement may be in the form of an arbitration clause in a contract.
D. Arbitration agreement may be for all or certain disputes which may arise between the parties.",A,"Option A is incorrect.

As per the Arbitration and Conciliation Act, 1996, specifically Section 7, an arbitration agreement must be in writing. The Act does not recognize oral arbitration agreements. Section 7(3) clearly states: ""An arbitration agreement shall be in writing."" The writing requirement can be fulfilled if the agreement is contained in a document signed by the parties, or in an exchange of letters, telex, telegrams, or other means of telecommunication which provide a record of the agreement, or in an exchange of statements of claim and defence in which the existence of the agreement is alleged by one party and not denied by the other.

Options B, C, and D are correct as per the Act:
- An arbitration agreement may be in the form of a separate agreement (Section 7(2)).
- It may also be in the form of an arbitration clause in a contract (Section 7(2)).
- The agreement may relate to all or certain disputes which have arisen or may arise between the parties (Section 7(1)).

Therefore, the correct answer is:
A. Arbitration agreement may be written as well as oral. (This is incorrect as per the Arbitration and Conciliation Act, 1996.)",Incorrect,
" In which of the following circumstances an arbitrator may not be challenged as per the Arbitration and Conciliation Act, 1996?","Options:
A. When a justifiable doubt as to his independence arises.
B. When a justifiable doubt as to his impartiality arises.
C. When he possesses the qualifications agreed by the party.
D. When he becomes ineligible as per the seventh schedule of the Act.",C,"An arbitrator may be challenged under the Arbitration and Conciliation Act, 1996, if circumstances exist that give rise to justifiable doubts as to his independence or impartiality (Section 12(3)(a)), or if he does not possess the qualifications agreed to by the parties (Section 12(3)(b)), or if he becomes ineligible as per the Seventh Schedule (Section 12(5)).

However, if the arbitrator possesses the qualifications agreed by the parties, this is not a ground for challenge; rather, it is a requirement for appointment. Therefore, the correct option is:

C. When he possesses the qualifications agreed by the party.

This is not a circumstance in which an arbitrator may be challenged under the Act. The other options (A, B, and D) are valid grounds for challenging an arbitrator as per the Act.",Correct,
" When may two persons be said to be related to each other by half-blood in accordance with the Hindu Marriage Act, 1955?","Options:
A. When they are descended from a common ancestor by the same wife.
B. When they are descended from a common ancestor by different wives.
C. When they are descended from a common ancestress by different husbands.
D. When they are not descended from a common ancestor at all.",B,"Under the Hindu Marriage Act, 1955, the term ""half-blood"" is defined in Section 3(f)(ii). Two persons are said to be related to each other by half-blood when they are descended from a common ancestor but by different wives. This means that they share the same father or ancestor, but their mothers are different.

Option A is incorrect because it refers to descent from a common ancestor by the same wife, which would make them related by full blood, not half-blood.

Option B is correct because it refers to descent from a common ancestor by different wives, which is the statutory definition of half-blood.

Option C is incorrect because it refers to descent from a common ancestress by different husbands, which is not the definition of half-blood under the Act.

Option D is incorrect because if they are not descended from a common ancestor at all, there is no blood relationship.

Therefore, the correct answer is:
B. When they are descended from a common ancestor by different wives.",Correct,
" Which of the following is generally not considered as a valid condition for a Hindu marriage as per the Hindu Marriage Act, 1955?","Options:
A. The parties should not have a spouse living at the time of the marriage.
B. The parties should be within the degrees of prohibited relationship.
C. The parties should not be sapindas of each other.
D. The parties should not be suffering from epilepsy.",B,"The Hindu Marriage Act, 1955 (HMA) lays down specific conditions for a valid Hindu marriage under Section 5. Let’s examine each option in light of the statutory provisions:

A. The parties should not have a spouse living at the time of the marriage.  
This is a valid condition under Section 5(i) of the HMA, which prohibits bigamy.

B. The parties should be within the degrees of prohibited relationship.  
This is NOT a valid condition. In fact, Section 5(iv) of the HMA states that the parties should NOT be within the degrees of prohibited relationship, unless the custom or usage governing each of them permits such a marriage.

C. The parties should not be sapindas of each other.  
This is a valid condition under Section 5(v) of the HMA, which prohibits marriage between sapindas, unless permitted by custom.

D. The parties should not be suffering from epilepsy.  
This is NOT a current condition. Earlier, Section 5(ii)(c) of the HMA included epilepsy as a disqualification, but this was removed by the Marriage Laws (Amendment) Act, 1999. Now, suffering from epilepsy is not a bar to marriage under the HMA.

Therefore, the correct answer is:

D. The parties should not be suffering from epilepsy.

This is generally not considered a valid condition for a Hindu marriage as per the current provisions of the Hindu Marriage Act, 1955.",Incorrect,
" Section 13(1) of the Hindu Marriage Act, 1955 provides for the following: i. Grounds for restitution of conjugal rights ii. Grounds for judicial separation iii. Grounds for divorce","Options:
A. i & ii
B. ii & iii
C. iii & i
D. Only iii",B,"Section 13(1) of the Hindu Marriage Act, 1955, specifically provides for the grounds on which a marriage may be dissolved by a decree of divorce. It lists the various grounds on which either the husband or the wife may present a petition for divorce.

Let’s examine the options:

i. Grounds for restitution of conjugal rights – This is covered under Section 9 of the Hindu Marriage Act, not Section 13(1).
ii. Grounds for judicial separation – This is covered under Section 10 of the Act, not Section 13(1).
iii. Grounds for divorce – This is precisely what Section 13(1) deals with.

Therefore, the correct answer is:

D. Only iii.

Section 13(1) of the Hindu Marriage Act, 1955, provides only for the grounds for divorce.",Incorrect,
 What is the meaning of the batil marriage in Muslim Law?,"Options:
A. Valid marriage
B. Void marriage
C. Voidable marriage
D. Irregular marriage",B,"In Muslim Law in India, a 'batil marriage' refers to a void marriage. A void (batil) marriage is one that is unlawful in itself and has no legal effect from the very beginning. Such a marriage is considered null and void, and no rights or obligations arise from it for the parties involved. Examples include a marriage within prohibited degrees of relationship or a marriage during the existence of a valid marriage (bigamy, where not permitted).

The correct option is:  
B. Void marriage

This is supported by the principles of Muslim personal law as applied in India, where marriages are classified as valid (sahih), void (batil), and irregular (fasid). 'Batil' specifically denotes a marriage that is void ab initio and cannot be validated by subsequent acts.",Correct,
 What is 'a contract of marriage which may be dissolved by the wife under a power delegated to her' called under the Muslim Law?,"Options:
A. Talaq-us-sunnat
B. Talaq-ul-biddat
C. Talaq-i-tafweez
D. Talaq-a-hasan",C,"The contract of marriage which may be dissolved by the wife under a power delegated to her is called Talaq-i-tafweez under Muslim Law. 

Talaq-i-tafweez is a form of delegated divorce, where the husband delegates the power of pronouncing talaq to his wife, either at the time of marriage (in the nikahnama) or later. This delegation allows the wife to dissolve the marriage herself if certain conditions specified in the agreement are met. This form of talaq is recognized under Muslim personal law and is not prohibited by statutes.

Therefore, the correct option is:  
C. Talaq-i-tafweez.",Correct,
" A Hindu boy and a Hindu girl may be married under the following law: i. The Hindu Marriage Act, 1955 ii. The Special Marriage Act, 1954","Options:
A. Only i is correct.
B. Only ii is correct.
C. Both i and ii are correct.
D. Neither i nor ii is correct.",C,"A Hindu boy and a Hindu girl may be married under both the Hindu Marriage Act, 1955 (HMA) and the Special Marriage Act, 1954. 

The Hindu Marriage Act, 1955 specifically governs marriages between Hindus, including Buddhists, Jains, and Sikhs, and lays down the conditions and procedures for a valid Hindu marriage.

The Special Marriage Act, 1954 is a secular law that allows any two persons, irrespective of their religion, to marry. Hindus can also choose to marry under this Act if they wish to have a civil marriage without religious ceremonies or if they want their marriage to be governed by secular law.

Therefore, the correct answer is: Both (i) The Hindu Marriage Act, 1955 and (ii) The Special Marriage Act, 1954.",Correct,
 Through which of the following Amendment Act the rights in the coparcenary property is made available to a girl child as well?,"Options:
A. The Hindu Succession (Amendment) Act, 2002
B. The Hindu Succession (Amendment) Act, 2004
C. The Hindu Succession (Amendment) Act, 2005
D. The Hindu Succession (Amendment) Act, 2006",C,"The right of a daughter to be a coparcener in the Hindu Undivided Family (HUF) property was conferred by The Hindu Succession (Amendment) Act, 2005. This amendment inserted Section 6 in the Hindu Succession Act, 1956, granting daughters the same rights and liabilities in the coparcenary property as sons. Therefore, the correct option is:

C. The Hindu Succession (Amendment) Act, 2005

This amendment marked a significant step towards gender equality in matters of inheritance among Hindus by ensuring that daughters have equal rights in ancestral property.",Correct,
 What should be the age difference between the adoptive father and his adopted daughter for a valid adoption?,"Options:
A. 15 years
B. 18 years
C. 21 years
D. No specific age difference required.",C,"Under the Hindu Adoption and Maintenance Act, 1956, specifically Section 11(iii), if a male adopts a female child, the adoptive father must be at least 21 years older than the adopted daughter for the adoption to be valid. This statutory requirement ensures a significant age gap between the adoptive father and the adopted daughter.

Therefore, the correct option is:
C. 21 years

No other Indian adoption law prescribes a different age difference for this scenario.",Correct,
 Which of the following case may be considered as the first reported case of PIL in India?,"Options:
A. S.P. Gupta v Union of India
B. Hussainara Khatoon v State of Bihar
C. M.C. Mehta v Union of India
D. Kalyaneshwari v Union of India",B,"The first reported case of Public Interest Litigation (PIL) in India is Hussainara Khatoon v State of Bihar.

In this landmark case, the Supreme Court of India addressed the plight of undertrial prisoners in Bihar who had been detained for periods longer than the maximum sentence for their alleged offences. The case was initiated through a letter addressed to the Supreme Court, which was treated as a writ petition. This marked the beginning of the PIL movement in India, where the court relaxed the traditional rules of locus standi and allowed any public-spirited individual to approach the court for the enforcement of fundamental rights of those who are unable to do so themselves.

Therefore, the correct option is:

B. Hussainara Khatoon v State of Bihar

This case is widely recognized as the first reported PIL in India and set the foundation for the development of PIL jurisprudence in the country.",Correct,
 Who among the following is considered as the father of PIL in India?,"Options:
A. Justice S.R. Das
B. Justice V.R. Krishna Iyer
C. Justice P.N. Bhagwati
D. Justice H.R. Khanna",C,"The father of Public Interest Litigation (PIL) in India is widely considered to be Justice P.N. Bhagwati. He played a significant role in expanding the scope of judicial activism and introduced the concept of PIL to ensure that the rights of the marginalized and disadvantaged sections of society were protected. Therefore, the correct answer is C. Justice P.N. Bhagwati.",Correct,
 Against which of the following a PIL cannot be filed?,"Options:
A. Against a State Government
B. Against Central Government
C. Against a private party
D. Against Municipal Corporation",C,"A Public Interest Litigation (PIL) is a legal mechanism in India that allows any individual or group to file a petition in the interest of the public, especially for the enforcement of fundamental rights and other legal rights of people who are unable to approach the court themselves. PILs can be filed under Article 32 of the Constitution of India before the Supreme Court and under Article 226 before the High Courts.

PILs are generally maintainable against:

A. State Government  
B. Central Government  
D. Municipal Corporation (as it is a statutory body and falls under the definition of ""State"" under Article 12 of the Constitution)

However, PILs are generally NOT maintainable directly against:

C. Private Party

This is because PILs are primarily intended to enforce rights against the State or its instrumentalities. The Supreme Court in the case of P.U.C.L. v. State of Bihar (AIR 1996 SC 1440) and other cases has clarified that PILs cannot be filed against private parties unless there is a clear public duty or statutory obligation involved, or the private party is discharging a public function.

Therefore, the correct answer is:

C. Against a private party

PIL cannot be filed directly against a private party unless the private party is performing a public function or there is a violation of a statutory obligation involving public interest. Otherwise, PILs are maintainable against the State, Central Government, and Municipal Corporations.",Correct,
