Question,Options,Correct Option,CourtEasy-v1 Response,Evaluation,Comments (Optional)
" A manufacturing company in the city of Surat named as ""X"" has been discharging untreated industrial waste into a nearby river, violating the provisions of the Environment Protection Act, 1986 and the Water (Prevention and Control of Pollution) Act, 1974. This has resulted in severe pollution, making the river water unsafe for drinking and harming aquatic life. Local farmers and residents, who rely on the river for irrigation and daily needs, have started facing health issues and crop failures due to the contaminated water. Despite multiple complaints to the local pollution control board, no action has been taken against the company. Based on the above problem, select the correct answer.","Options:
A. It is the violation of Section 24 of the Water (Prevention and Control of Pollution) Act, 1974.
B. It is the violation of Section 40 of the Water (Prevention and Control of Pollution) Act, 1974.
C. It is not the violation of the provisions of the laws stated in the problem.
D. It is the violation of Section 23 of the Water (Prevention and Control of Pollution) Act, 1974.",A,"The Water (Prevention and Control of Pollution) Act, 1974 prohibits the discharge of any poisonous, noxious, or polluting matter into any stream or well. Specifically, Section 24 of the Act states that no person shall knowingly cause or permit any such matter to enter into any water body, which includes rivers.In the case of the manufacturing company 'X' discharging untreated industrial waste into the river, it is in direct violation of this provision. The Act also provides for penalties for such violations, which can include imprisonment and fines. If the local pollution control board has not taken action despite multiple complaints, affected parties may consider filing a complaint in court under Section 49 of the Act, which allows for legal action against offenders.  Therefore, the company 'X' is liable for violating the Water (Prevention and Control of Pollution) Act, 1974, and the local residents and farmers have grounds to seek legal recourse for the harm caused by the pollution.",Correct,
 Which of the following Acts is popularly known as Umbrella Legislation?,"Options:
A. The Water (Prevention and Control of Pollution) Act, 1974
B. The Air (Prevention and Control of Pollution) Act, 1981
C. The Factories Act, 1948
D. The Environment (Protection) Act, 1986",D,"The term ""Umbrella Legislation"" refers to a law that provides a framework for the regulation of a particular area, often encompassing various aspects and allowing for the creation of more specific regulations under its authority. In the context of environmental law in India, the Environment (Protection) Act, 1986 is commonly referred to as Umbrella Legislation. 

This Act serves as a comprehensive framework for the protection and improvement of the environment, allowing for the establishment of standards and regulations for various environmental aspects, including air and water quality, hazardous waste management, and more. 

Therefore, the correct option is D. The Environment (Protection) Act, 1986.",Correct,
" Which of the following is/are included under Section 2(1)(w) of the Information Technology Act, 2000 describing the Intermediary? (1) Cyber Cafes (2) Telecom Regulators (3) Social Media Platforms (4) Internet Service Providers","Options:
A. (1), (2) and (3)
B. (1), (3) and (4)
C. (1), (2) and (4)
D. (1), (2), (3) and (4)",B,"Section 2(1)(w) of the Information Technology Act, 2000 defines ""intermediary"" as any person who on behalf of another person receives, stores, or transmits any electronic record or provides any service with respect to that record. 

Based on this definition, the following can be classified as intermediaries:

1. **Cyber Cafes** - They provide access to the internet and can be considered intermediaries as they facilitate the transmission of electronic records.
2. **Telecom Regulators** - They do not fit the definition of intermediaries as they regulate telecommunications rather than providing services that involve receiving, storing, or transmitting electronic records.
3. **Social Media Platforms** - They qualify as intermediaries since they allow users to create, share, and exchange information and electronic records.
4. **Internet Service Providers (ISPs)** - They are also intermediaries as they provide the infrastructure for transmitting electronic records.

Thus, the correct options that fall under the definition of intermediaries in Section 2(1)(w) are (1) Cyber Cafes, (3) Social Media Platforms, and (4) Internet Service Providers.

The correct answer is **B. (1), (3) and (4)**.",Correct,
" XYZ Textiles Ltd., a manufacturing company, recently terminated 04 workers without providing any compensation. The termination was because of the misconduct on the part of the workers. The company issued a show cause notice and the disciplinary enquiry was also conducted against them. On the basis of the recommendations of the committee the services of these employees were terminated. The workers claimed the retrenchment compensation which was rejected by the management. Aggrieved by the rejection the workers have filed a complaint in the Labour Court under the provisions of the Industrial Disputes Act, 1947. Based on the above problem, select the correct answer.","Options:
A. The termination does not amount to retrenchment, hence no compensation.
B. The termination amounts to lay-off, hence compensation will be awarded.
C. The termination amounts to retrenchment, hence compensation will be awarded.
D. The termination violated the provisions under the Industrial Disputes Act, 1947, hence the compensation will be awarded.",A,"In the scenario where XYZ Textiles Ltd. terminated 04 workers without compensation due to misconduct, the correct option is A. The termination does not amount to retrenchment, hence no compensation.

Under the Industrial Disputes Act, 1947, ""retrenchment"" refers to the termination of service of a worker for any reason other than disciplinary action. Since the workers were terminated due to misconduct, this does not qualify as retrenchment. Therefore, the provisions for compensation under Section 25F of the Act, which apply to retrenchment, would not be applicable in this case.

Additionally, case law supports this interpretation. In the case of ""Bharat Heavy Electricals Ltd. v. State of U.P."", the Supreme Court held that termination due to misconduct does not constitute retrenchment and thus does not entitle the worker to compensation.

Options B, C, and D are incorrect as they misinterpret the nature of the termination and the applicable provisions of the Industrial Disputes Act, 1947.",Correct,
" Ms J, a banker refuses to honour cheque of Ms F. Though she was having sufficient balance yet it doesn't suffer any loss to Ms F. Ms F can file the case under which scenario?","Options:
A. Volenti-non-fit-injuria
B. Injuria-sine-damnum
C. Damnum-sine-injuria
D. Res-ipsa- loquitur",B,"Ms. F can file a case under the legal principle of ""Injuria-sine-damnum."" This principle applies when a legal right is violated, even if no actual damage or loss has occurred. In this scenario, Ms. J's refusal to honor the cheque constitutes a violation of Ms. F's right to have her cheque honored, despite the absence of any financial loss. 

The principle of ""Injuria-sine-damnum"" is well established in Indian law, as seen in the case of *Ashby v. White*, where it was held that a person can sue for a violation of their rights even if they have not suffered any actual damage. Therefore, Ms. F has grounds to file a case against Ms. J based on this principle.",Correct,
" Mr B told Mr A to leave the premises in occupation of Mr A. When Mr A refused then Mr B collected some of his workmen who mustered round Mr A. They tucking up their sleeves and aprons and threatened to break the plaintiff's neck, he did not leave. Under which tortious act, Mr A can file the case?","Options:
A. False Imprisonment
B. Assault
C. Battery
D. Hurt",B,"Mr. A can file a case against Mr. B for threatening behavior under the tort of Assault. Assault is defined as an act that creates an apprehension in another of an imminent, harmful, or offensive contact. The key element here is the threat of harm, which can be sufficient for an assault claim even if no physical contact occurs.

False Imprisonment involves the unlawful restraint of a person against their will, which does not apply in this scenario. Battery requires actual physical contact, which is not the case with mere threats. Hurt refers to physical injury, which again does not apply to threatening behavior.

Therefore, the most appropriate tortious act for Mr. A to file a case against Mr. B for threatening behavior is Assault.",Correct,
" Ms J knowing while taking the lift that driver Mr T was under the influence of alcohol. Consequently, car met with an accident and Ms J got injuries and she has filed the case for compensation. Which defence could be claimed by Mr T?","Options:
A. Volenti-non-fit-injuria
B. Act of God
C. Inevitable Accident
D. Act of Necessity",A,"In the scenario where Ms. J was aware that driver Mr. T was under the influence of alcohol while taking the lift, the most applicable defense that Mr. T could claim is A. Volenti non fit injuria. This legal principle means that a person who voluntarily puts themselves in a position where harm might result cannot claim compensation for that harm. Since Ms. J was aware of Mr. T's condition, it could be argued that she consented to the risk involved in taking the lift with him.

The other options are less applicable in this context:
- B. Act of God typically refers to natural events that are not caused by human actions.
- C. Inevitable Accident refers to situations where an accident occurs without negligence or fault from either party.
- D. Act of Necessity involves actions taken to prevent greater harm, which does not apply here.

Therefore, Mr. T could potentially use the defense of volenti non fit injuria in this case.",Correct,
 Mr K is owner of a building containing a large number of rooms and had derived a considerable income by letting them. Mr Y is owner of an adjacent cotton mill which erected after the occupation by Mr K. Owing to noise and smoke of the mill several rooms remain vacated that results into loss for Mr K. Examine relevant tort for the case.,"Options:
A. Damnum-sine-injuria
B. Trespass to land
C. Nuisance
D. Negligence",C,"In this scenario, the relevant tort to examine is C. Nuisance. 

Nuisance is a tort that involves the interference with a person's enjoyment and use of their property. In this case, Mr. K is experiencing a loss of income due to the noise and smoke from Mr. Y's cotton mill, which is affecting the occupancy of his rooms. The fact that the mill was erected after Mr. K's occupation of the building suggests that Mr. Y's activities are causing a substantial interference with Mr. K's use and enjoyment of his property.

The principle of nuisance is well established in Indian tort law, where a property owner has the right to enjoy their property without unreasonable interference from neighboring activities. If the noise and smoke from the mill are deemed to be unreasonable and causing harm to Mr. K's business, he may have a valid claim for nuisance against Mr. Y.

Options A (Damnum-sine-injuria) and D (Negligence) do not apply here as they do not directly address the interference with the use and enjoyment of property. Option B (Trespass to land) is also not applicable since there is no indication that Mr. Y has physically entered Mr. K's property.

Therefore, the most appropriate tort in this case is C. Nuisance.",Correct,
" The term ""Income"" is described in the Income Tax Act, 1961 under","Options:
A. Section 2 (24)
B. Section 2 (40)
C. Section 3
D. Section 10E",A,"The term 'Income' is described in the Income Tax Act, 1961 under Section 2 (24).",Correct,
" Mr. X deposits ₹ 65,000 in the term deposit of 5 years with the Post Office to avail tax deduction under section 80C. Assuming Mr. X does not opt for concessional tax regime u/s 115BAC of the Income Tax Act, 1961. On the basis of the above problem, select the correct option.","Options:
A. Mr. X is guilty of tax evasion/tax avoidance.
B. Mr. X is not guilty of either tax evasion/tax avoidance.
C. No tax deduction can be availed under Section 80 C.
D. It is an unlawful act to treat a personal expenditure.",B,"Mr. X is not guilty of either tax evasion/tax avoidance. By depositing ₹ 65,000 in a term deposit with the Post Office, he is availing himself of the tax deduction under Section 80C of the Income Tax Act, 1961, which is a legal provision. Therefore, the correct option is B.",Correct,
" Read the given statements and choose the correct option: Statement 1: Agricultural income is exempt from tax under Section 10(1) of Income Tax Act, 1961. Statement 2: Tax on Non-Agricultural in case of Non-Agricultural Income exceeds Basic Exemption limit and Agricultural Income exceeds ₹ 5000/- is determined by Scheme of Partial Integration of Non-Agricultural Income with Agricultural Income.","Options:
A. Both the Statements are incorrect.
B. Only Statement 1 is true.
C. Only Statement 2 is true.
D. Both the Statements are correct.",D,"Statement 1 is correct. Agricultural income is indeed exempt from tax under Section 10(1) of the Income Tax Act, 1961. This section specifically states that any income derived from agricultural activities is not subject to income tax.

Statement 2 is also correct. The tax on non-agricultural income is determined by the Scheme of Partial Integration when the non-agricultural income exceeds the basic exemption limit and the agricultural income exceeds ₹ 5,000. This means that the agricultural income is considered while calculating the tax on non-agricultural income, but only under the specified conditions.

Therefore, the correct option is D. Both the Statements are correct.",Correct,
 Rent-Free Accommodation provided by an employer to employee is,"Options:
A. Perquisite as per Section 17(2) of the Income Tax Act
B. Perquisite as per Section 16(2) of the Income Tax Act
C. Allowance under Section 10(13A) of the Income Tax Act
D. Allowance under Section 10(1) of the Income Tax Act",A,"Rent-Free Accommodation provided by an employer to an employee is considered a perquisite as per Section 17(2) of the Income Tax Act, 1961. This section defines perquisites to include any benefit or amenity provided by the employer to the employee, which includes accommodation. 

Section 16(2) pertains to deductions available to the taxpayer and does not classify rent-free accommodation as a perquisite. 

Section 10(13A) relates to house rent allowance, which is not applicable in the case of rent-free accommodation. 

Section 10(1) provides for exemptions on certain incomes, but it does not specifically address the treatment of rent-free accommodation as a perquisite. 

Therefore, the correct classification for rent-free accommodation is as a perquisite under Section 17(2) of the Income Tax Act, 1961.",Correct,
 An agreement not enforceable by law is stated to be void under,"Options:
A. Section 2(d)
B. Section 2(e)
C. Section 2(f)
D. Section 2(g)",D,"An agreement not enforceable by law is stated to be void under Section 2(g) of the Indian Contract Act, 1872.",Correct,
" A transfers a piece of land to B on the condition that B shall not transfer the land to anyone else for the next 10 years. In this case, B has no right to transfer the land to someone else for the next 10 years. On the basis of the above problem, select the correct option.","Options:
A. It amounts to Conditional Transfer of Property.
B. It amounts to Conditional Limitations on Transfer of Property.
C. It amounts to Subsequent Transfer of Property.
D. It amounts to conditions precedent in the Transfer of Property.",B,"The scenario described involves a transfer of property with a condition that restricts the transferee (B) from transferring the property to anyone else for a specified period (10 years). According to the Transfer of Property Act, 1882, this situation can be classified as a ""Conditional Limitation on Transfer of Property.""

Under Section 10 of the Transfer of Property Act, a transfer can be made subject to a condition that it shall not be transferred for a certain period. This means that B's right to transfer the property is limited for the duration of the condition. Therefore, the correct option is:

B. It amounts to Conditional Limitations on Transfer of Property.",Correct,
" Mr. Rajesh issued a cheque of ₹ 50000 to his supplier Mr. Sharma for the payment of goods purchased. When Mr. Sharma deposited the cheque it was returned by the bank with the remark ""Insufficient Funds"". On the basis of the above problem, select the correct option.","Options:
A. A complaint in writing is to be made by Mr. Sharma in the court within three months for the dishonour of the cheque.
B. A complaint in writing is to be made by Mr. Sharma in the court within one month for the dishonour of the cheque.
C. A complaint in writing is to be made by Mr. Sharma in the court within five months for the dishonour of the cheque.
D. A complaint in writing is to be made by Mr. Sharma in the court within two months for the dishonour of the cheque.",B,"Mr. Sharma must file a complaint in writing in the court for the dishonour of the cheque within one month from the date of receiving the information from the bank regarding the cheque's dishonour. Therefore, the correct option is B. within one month.",Correct,
" Section 31 of the Specific Relief Act, 1963 is related to","Options:
A. Rescission of contracts
B. Cancellation of instruments
C. Declaratory decrees
D. Perpetual injunction",B,"Section 31 of the Specific Relief Act, 1963 relates to the ""Cancellation of instruments."" Therefore, the correct answer is B. Cancellation of instruments.",Correct,
" Which section of Law of Contract defines, ""A proposal may be revoked at any time before the communication of its acceptance is complete as against the proposer, but not afterwards""?","Options:
A. Section 5
B. Section 4
C. Section 6
D. Section 7",A,"The section of the Indian Contract Act, 1872 that defines, ""A proposal may be revoked at any time before the communication of its acceptance is complete as against the proposer, but not afterwards"" is Section 5.",Correct,
" According to the Land Acquisition Act (Land Acquisition, Rehabilitation and Resettlement), 2013, governments can acquire land for: (i) Strategic purpose. (ii) Projects for Families Affected by Projects. (iii) For public-private partnership projects, where government ownership of land will remain with the government.","Options:
A. (i) & (ii)
B. (ii) & (iii)
C. (i) & (iii)
D. (i), (ii) & (iii)",D,"According to the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation, and Resettlement Act, 2013, the government can acquire land for various purposes, including strategic purposes, projects for families affected by projects, and public-private partnership projects where government ownership of land will remain with the government. Therefore, the correct option is D. (i), (ii) & (iii).",Correct,
" Land Acquisition Act, 2013 in India has replaced which earlier legislation?","Options:
A. Land Acquisition Act, 1956
B. Land Acquisition Act, 1862
C. Land Acquisition Act, 1894
D. Land Acquisition Act, 1874",C,"The Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation, and Resettlement Act, 2013 has replaced the Land Acquisition Act, 1894. Therefore, the correct answer is C. Land Acquisition Act, 1894.",Correct,
" Soham, an independent software developer, created a mobile app called ""FitLife"" that provides personalized fitness plans. He registered the app's name and logo under trademark law and copyrighted the app's source code. However, six months after its launch, Soham discovered a competing app called ""FitLyfe"", with a similar logo and features, being marketed by a large tech company. Soham believes the competing app copied elements of his source code and intentionally used a confusingly similar name and logo to mislead customers. On the basis of the above problem, select the correct option. Under trademark law, can Soham claim infringement for the use of a similar name and logo by the competing app?","Options:
A. Yes, if he can prove that the names are confusingly similar.
B. No, because the competing app has a different name and logo.
C. Yes, but only if the competitor is a small business.
D. No, trademark infringement can only occur if there is identical copying.",A,"Soham can claim infringement under trademark law if he can prove that the names and logos are confusingly similar. The key aspect of trademark infringement is the likelihood of confusion among consumers regarding the source of the goods or services. In India, the Trade Marks Act, 1999, provides the legal framework for the registration and protection of trademarks. 

To establish infringement, Soham would need to demonstrate that the use of the name 'FitLyfe' and its logo is likely to cause confusion with his trademark. Factors that are considered include the similarity of the marks, the nature of the goods or services, and the channels of trade. 

Therefore, the correct option is: A. Yes, if he can prove that the names are confusingly similar.",Correct,
 What is the duration of copyright protection for literary works in India?,"Options:
A. 50 years from the creation of the work
B. 60 years from the date of publication
C. Lifetime of the author plus 60 years
D. 10 years from the date of first sale",C,"In India, the duration of copyright protection for literary works is governed by the Copyright Act, 1957. According to Section 22 of the Act, the copyright in a literary work lasts for the lifetime of the author plus 60 years after the author's death. 

Therefore, the correct option is C: Lifetime of the author plus 60 years.",Correct,
 In which case did the Supreme Court of India held that fundamental rights cannot be waived?,"Options:
A. Gopala vs. State of Madras
B. Kameshwar Singh vs. State of Bihar
C. Golaknath vs. State of Punjab
D. Bashehar Nath vs. I.T. Commissioner",D,The Supreme Court of India held that fundamental rights cannot be waived in the case of Golaknath vs. State of Punjab.,Incorrect,
 By which Constitutional Amendment was clause (4B) inserted into Article 16?,"Options:
A. 81
B. 91
C. 77
D. 85",A,Clause (4B) was inserted into Article 16 by the 85th Constitutional Amendment.,Incorrect,
 Which of the following statement is correct about 106th Constitutional Amendment Act? (i) It introduces Article 239A by which seats are reserved for women in legislative assembly of the national capital territory of Delhi. (ii) It introduces Article 338 providing for the reservation of seats for women in the house of people. (iii) It also adds Article 334A which states in that the said amendment will commence after the first census have been taken after the commencement of the said Act. (iv) The above stated shall cease to have effect on the expiration of a period of 15 years from search commencement.,"Options:
A. (i), (ii) & (iii)
B. (i), (iii) & (iv)
C. (ii), (iii) & (iv)
D. All of these",,"The Water (Prevention and Control of Pollution) Act, 1974 prohibits the discharge of untreated industrial waste into water bodies, as it leads to pollution and poses a threat to public health and the environment. Specifically, Section 24 of the Act states that no person shall knowingly cause or permit any poisonous, noxious, or polluting matter to enter any stream or well. In the scenario described, the manufacturing company 'X' is in violation of this provision by discharging untreated industrial waste into the river, which has resulted in severe pollution and health issues for local residents and farmers. The local pollution control board has the authority to take action against such violations, and failure to do so may also constitute a breach of their duties under the Act. Therefore, the correct answer regarding the violation of the Water (Prevention and Control of Pollution) Act, 1974 is that the company is indeed violating the Act by discharging untreated waste, and the local pollution control board is obligated to take action to address this violation.",Incorrect,Withdrawn
" The Parliament enacts the ""Fair Housing Act, 2024"", which includes the following provisions: (1) Section 3: Prohibits discrimination in renting or selling houses based on religion, caste, or gender. (2) Section 6: Imposes a penalty of ₹ 10,000 for discrimination. (3) Section 10: Makes it mandatory for landlords to disclose the religious background of all tenants in the previous 10 years. A citizen challenges Section 10, arguing that it violates the right to privacy under Article 21 of the Indian Constitution. The Supreme Court declares Section 10 unconstitutional but upholds the other provisions of the law. What principle did the court apply in this decision?","Options:
A. Doctrine of Eclipse
B. Doctrine of Severability
C. Doctrine of Basic Structure
D. Doctrine of Colourable Legislation",,I can only help to answer questions about India. Can you please rephrase your question?,Incorrect,Withdrawn
" According to the provisions of the Bhartiya Nyaya Sanhita, 2023, the right of private defense of property extends to the voluntary causing of death or of any other harm to the wrong-doer in which of the offences committed or attempting to be committed? (1) Robbery (2) House-breaking after sunset (3) Theft, mischief or house trespass","Options:
A. (1) only
B. (1) and (2) both
C. (1) and (3) both
D. (1), (2) and (3)",C,"The right of private defense of property extends to the voluntary causing of death or of any other harm to the wrong-doer in the following offences:Robbery House-breaking after sunset Theft, mischief, or house trespass, under circumstances that may reasonably cause apprehension that death or grievous hurt will be the consequence if such right of private defense is not exercised. Therefore, the correct answer is D. (1), (2), and (3).",Incorrect,
" Amit and Rani decide to break into a house at night with the intent of stealing valuables. They use a crowbar to force open the door, but before they can take anything, the owner of the house, Vikram, unexpectedly arrives home. Amit and Rani panic and run away without stealing anything. The police arrest them the following morning based on a complaint from Vikram. Which of the following offenses under the BNS have Amit and Rani committed?","Options:
A. Attempt to commit theft
B. House trespass with intent to commit theft
C. Attempt to commit robbery
D. Burglary",B,"Amit and Rani have committed the following offenses under the Bhartiya Nyay Sanhita (BNS):

A. Attempt to commit theft - They had the intent to steal valuables, which constitutes an attempt.

B. House trespass with intent to commit theft - They unlawfully entered the house with the intent to commit theft.

D. Burglary - They used a crowbar to force open the door, which indicates they entered the property with the intent to commit an offense therein.

C. Attempt to commit robbery does not apply here as there was no use of force or threat against a person to take property.

Therefore, the correct offenses committed by Amit and Rani are A, B, and D.",Incorrect,
 A new offense of 'Snatching' has been introduced by the BNS. Which section of the BNS defines 'Snatching' as an offense?,"Options:
A. 308
B. 303
C. 305
D. 304",D,"The offense of 'Snatching' is defined in Section 302 of the Bharatiya Nyaya Sanhita (BNS), 2023. Therefore, none of the options provided (A. 308, B. 303, C. 305, D. 304) are correct.",Incorrect,
 Which section of BNSS facilitates trials and proceedings to be held in electronic mode?,"Options:
A. 532
B. 330
C. 430
D. 530",D,The section of the Bharatiya Nagarik Suraksha Sanhita (BNSS) that facilitates trials and proceedings to be held in electronic mode is Section 532.,Incorrect,
" Which section of BNSS repeals the Code of Criminal Procedure, 1973?","Options:
A. 531
B. 101
C. 2
D. 1",A,"The section of the Bharatiya Nagarik Suraksha Sanhita (BNSS) that repeals the Code of Criminal Procedure, 1973 is Section 533.",Incorrect,
 Which section mandates State Government prepare and notify a witness protection scheme for the state with a view to ensure the protection of witnesses?,"Options:
A. 98
B. 198
C. 298
D. 398",,"The section of the Bharatiya Nagarik Suraksha Sanhita (BNSS) that mandates the State Government to prepare and notify a witness protection scheme for the state with a view to ensure the protection of witnesses is Section 398. Therefore, the correct answer is D. 398.",Incorrect,Withdrawn
" Under the CPC, what is the maximum time limit for filing a written statement in a suit?","Options:
A. 30 Days
B. 60 Days
C. 120 Days
D. 90 Days",D,"Under the Civil Procedure Code (CPC) of India, the maximum time limit for filing a written statement in a suit is 30 days from the date of service of summons. However, the court may extend this period by a further 90 days, making the total possible time limit for filing a written statement up to 120 days, provided that the defendant shows sufficient cause for the delay.

This is outlined in Order VIII, Rule 1 of the CPC, which states that the written statement must be filed within 30 days, and the extension can be granted at the discretion of the court. 

Therefore, the correct option regarding the maximum time limit for filing a written statement in a suit under the CPC is 120 days, subject to the court's discretion.",Incorrect,
 Which section of the CPC provides exemption of the President of India and the Governors of states from personal appearance in court?,"Options:
A. Section 132
B. Section 133
C. Section 128
D. Section 130",B,The section of the Criminal Procedure Code (CrPC) that provides exemption of the President of India and the Governors of states from personal appearance in court is Section 130.,Incorrect,
 What is the term used for a court's power to transfer a case from one court to another under the Code of Civil Procedure?,"Options:
A. Res Judicata
B. Reference
C. Review
D. Transfer of suits",D,"The term used for a court's power to transfer a case from one court to another under the Code of Civil Procedure (CPC) is ""Transfer of Cases."" This power is primarily governed by Section 24 of the CPC, which allows the High Court or any other court to transfer any suit, appeal, or other proceeding from one court to another court of equal jurisdiction.

Section 24 states that the High Court may, at any stage, transfer any suit, appeal, or other proceeding pending before it or any subordinate court to any other court of equal or superior jurisdiction. This provision is aimed at ensuring that cases are heard in the most appropriate forum and to prevent any undue hardship to the parties involved.

In summary, the correct term for this power is ""Transfer of Cases,"" as outlined in Section 24 of the Code of Civil Procedure.",Incorrect,
" Which sections discusses with regard to ""sapinda relationships"" under the Hindu Marriage Act 1955?","Options:
A. Sections 3(f) (i), 5(v)
B. Sections 3(f) (i), 5(iv)
C. Sections 3(f) (i) & (ii), Explanation to section 3 (g), 5(iv)
D. Sections 3(f) (i) & (ii), Explanation to section 3 (g), 5(v)",D,"The concept of 'sapinda relationships' under the Hindu Marriage Act, 1955 is primarily discussed in the following sections:

1. **Section 3(f)** defines 'sapinda' as a person who is related to another in a certain degree of lineal descent.
2. **Section 5** outlines the conditions for a valid Hindu marriage, which includes the prohibition of marriages between sapindas.

Specifically:
- **Section 3(f)(i)** refers to the relationship up to the fifth degree of lineal descent.
- **Section 3(f)(ii)** extends this definition to include relationships through the mother.
- **Explanation to Section 3(g)** provides further clarification on the degrees of relationship.
- **Section 5(iv)** prohibits marriages between sapindas.

Given the options:
- A. Sections 3(f)(i), 5(v)
- B. Sections 3(f)(i), 5(iv)
- C. Sections 3(f)(i) & (ii), Explanation to section 3(g), 5(iv)
- D. Sections 3(f)(i) & (ii), Explanation to section 3(g), 5(v)

The correct option that comprehensively covers the discussion of 'sapinda relationships' is **C. Sections 3(f)(i) & (ii), Explanation to section 3(g), 5(iv)**. This option includes both definitions of sapinda relationships and the relevant prohibitions under the Act.",Incorrect,
" Under Section 15 of Hindu Marriage Act, 1955 the divorced person, to marry again __________","Options:
A. have to wait for a period of one year from the date of the decree.
B. have to wait for a period of six month from the date of the decree.
C. may marry immediately thereafter without the leave of the court as a matter of right.
D. None of these",,"Under Section 15 of the Hindu Marriage Act, 1955, a divorced person may marry again without any waiting period. The section states that a divorced person can remarry immediately after the decree of divorce is granted, without needing the leave of the court. Therefore, the correct option is:

C. may marry immediately thereafter without the leave of the court as a matter of right.",Incorrect,Withdrawn
" On matters where Dayabhaga is silent, what prevails?","Options:
A. The local customs
B. The Smritis
C. The Shrutis
D. Mitakshara",D,"On matters where Dayabhaga is silent, the prevailing authority is typically the local customs. This is because local customs can fill the gaps where specific texts like Dayabhaga do not provide guidance. Therefore, the correct answer is A. The local customs.",Incorrect,
" Match the following: a. Spoken words, b. Deepika vs. CAT, c. Silence, d. Ass Kaur vs. Kartar Singh, e. Shayara Bano vs. UOI","Options:
A. a-i, b-ii, c-iii, d-iv, e-vi
B. a-i, b-ii, c-iii, d-iv, e-v
C. a-i, b-iv, c-iii, d-ii, e-v
D. a-i, b-iv, c-iii, d-ii, e-vi",C,"Sorry, I dont know. Can you please rephrase your question?",Incorrect,
" Fatima, a Muslim woman, has been divorced by her husband, Imran, through Talaq. Fatima is now seeking maintenance from Imran for herself and her two minor children. Imran argues that Fatima has remarried and, therefore, is not entitled to any maintenance. Under Muslim law, which of the following statements is true regarding Fatima's claim for maintenance?","Options:
A. Fatima is not entitled to maintenance because she has remarried.
B. Fatima is entitled to maintenance only for a period of three months after the divorce.
C. Fatima is entitled to maintenance for herself during her iddat period and for her children until they are self-supporting.
D. Fatima can claim maintenance for herself and her children indefinitely, irrespective of her remarriage or the children's age.",,"Under Muslim law, the correct statement regarding Fatima's claim for maintenance after being divorced by her husband Imran through Talaq is:

C. Fatima is entitled to maintenance for herself during her iddat period and for her children until they are self-supporting.

According to Islamic jurisprudence, a divorced woman is entitled to maintenance during her iddat period, which is typically three menstrual cycles or three months, depending on her circumstances. Additionally, she is entitled to maintenance for her children until they reach the age of self-support. This principle is supported by various interpretations of Islamic law and case laws that affirm the rights of women and children in such situations.",Incorrect,Withdrawn
" In the early 1980s, a social activist group discovered severe exploitation of labourers working in stone quarries near Delhi. The workers, including many children, were working in extremely hazardous conditions, living in makeshift shelters, and were effectively trapped in a cycle of debt and forced labour. The conditions revealed systematic violations of fundamental human rights. The Supreme Court was approached to look into the dire circumstances of the working persons there and one of the following views of the Court was sustained in the said case, identify from the following-","Options:
A. The Court established that the right to free legal aid is a mere directive principle and cannot be enforced as a fundamental right.
B. The judgment primarily focused on providing monetary compensation to the affected labourers without addressing systemic issues of bonded labour.
C. The Supreme Court recognized the right against forced labour as a fundamental right derived from the right to life and human dignity under Article 21.
D. The Court ruled that only government agencies, and not social activists, could file petitions concerning labour rights.",C,"Sorry, I dont know. Can you please rephrase your question?",Incorrect,
" In 2020 at Dhorodo village the Panchayat elections could not happen due to Covid pandemic while the tenure of the Panchayat was getting over that year itself. Mr. Haribansh, represented the people that year at the Panchayat post dissolution of the Panchayat tenure and made a law exercising the delegated power vide the Panchayatiraj Act of the state to restrict their economic activities per day to ₹ 100 only. In which of the following case this is allowed or restricted?","Options:
A. MCD vs. Birla Cotton Mills
B. Patna University vs. Amita Tiwari
C. Jalan Trading vs. Union of India
D. None of these",A,"The situation described involves the exercise of delegated powers under the Panchayati Raj Act and the legality of restricting economic activities. 

In the case of **MCD vs. Birla Cotton Mills**, the Supreme Court held that a regulation must not be arbitrary and should have a reasonable nexus to the objective sought to be achieved. If Mr. Haribansh's law restricting economic activities to ₹ 100 per day is arbitrary or does not serve a legitimate purpose, it could be challenged.

In **Patna University vs. Amita Tiwari**, the court emphasized that any restriction imposed must be reasonable and not infringe upon the fundamental rights of individuals. If the restriction on economic activities is deemed unreasonable, it may be struck down.

**Jalan Trading vs. Union of India** dealt with the issue of legislative competence and the validity of restrictions imposed by law. If the law made by Mr. Haribansh exceeds the powers conferred by the Panchayati Raj Act or is inconsistent with the Constitution, it could be invalidated.

Therefore, the legality of Mr. Haribansh's law would depend on whether it is reasonable, serves a legitimate purpose, and falls within the powers granted by the Panchayati Raj Act. If it fails these tests, it could be restricted or invalidated based on the principles established in these cases.",Incorrect,
" Appropriate procedural safeguards help reduce threats to objectivity and counter any perception of possible bias, which of the following is/are not procedural safeguard/s? (1) Act in a fraudulent manner (2) Providing peer-review of valuation, if necessary (3) Non-Disclosure of any prior association with the client (4) Non-Disclosure of any possible source of conflict of interest","Options:
A. (3) and (4)
B. Only (2)
C. Only (4)
D. (2) and (4)",,"Sorry, I dont know. Can you please rephrase your question?",Incorrect,Withdrawn
